Message|usually a brief form of communication sent to someone in form of written or spoken|If I can’t answer my phone when you call, please leave me a message and I will call you back.|
Messenger|a person who delivers someone a message, packages or documents|The law firm sent a messenger to pick up the documents from their clients business office.|
Messiah|one who is thought to be the savior of a certain group|Many of the politician’s followers see him as a messiah who will fix all of their problems.|
Meta|a prefix added to a word to explain that one thing is related to other things|The meta-search sites found on the internet all link to the same information.|
Metabolism|the chemical reactions which cause fat cells and/or calories to burn |Jan can eat anything without gaining weight because of her fast metabolism.|
Metabolize|to break down food in the body so it can be used for energy|His body didn’t metabolize iron normally, so he took an iron supplement daily.|
Metamorphosis|an observable change|When Chet started exercising on a regular basis, he experienced a huge physical metamorphosis.|
Metaphor|the use of a word or phrase something that it is not, invoking a direct similarity between them and the thing described|He uses the metaphor of fire to represent hatred.|
Metaphysical|associated with what is believed to be present yet not visible|In the book, the main character spoke to a metaphysical being he couldn’t see.|
Metastasize|to spread or grow to other sites|The idea of revolution began to metastasize and spread like wildfire from Moscow to the impoverished Russian countryside.|
Mete|to give out or distribute|After being caught stealing, the boy waited for his father to mete out his punishment.|
Meteor|a piece of debris from space that enters Earth’s atmosphere and becomes luminescent due to friction, appearing as a streak of light|The satellite from outer space become a meteor as it fell into the atmosphere, coming alight with flame.|
Meter|the basic unit of length in the metric system|A metric ruler was used to measure the shelf to the nearest meter.|
Method|a procedure or technique used to accomplish as task|My simple method to cake baking is different from most pastry baker’s techniques.|
Methodical|in an ordered manner|My husband is very organized and has a methodical approach for doing every task.|
Meticulous|showing great attention to detail; very careful and precise|Because Haley is a meticulous cleaner, every inch of her house is spotless.|
Metonymy|a form of speech in which the title of a thing or person is used to replace a name associated with it |When you refer to the film industry as Hollywood, you’re using a metonymy by calling one subject a name that equates to it.|
Metropolis|a large, heavily populated city|Accustomed to country life, the farmer had a difficult time adjusting to his new home in a metropolis.|
Mettle|strength of spirit; the ability to continue despite difficulties|Of all the young men in the village, Caldor was the only one with enough mettle to face the dragon in its lair.|
Milieu|the environment in which one experiences life|Because my father grew up in a military milieu, he knew he wanted to join the armed forces when he graduated from high school.|
Militant|prone to engage in conflict for a belief or cause|Since the militant group believes the president is a brutal dictator, it is crafting a plan to remove him from office.|
Militarism|an ideology which claims that the military is the foundation of a society's security, and thereby its most important aspect|Because he was a veteran, many of his political ideals followed a form of militarism.|
Military|the armed forces of a country|Without a military, a country cannot wage war with another for lack of soldiers and weapons to wage it with.|
Militate|to influence or have an effect upon |The rain will militate a change of venue for our picnic.|
Militia|a military force of trained and organized civilians who may be called to duty|The militia was assigned to assist the police until the National Guard troops arrived.|
Mill|a manufacturing plant for paper, steel, textiles, etc.|Our local paper mill mostly hire people through a temp agency for short-term contracts.|
Millennium|a period that covers one thousand years|The year 2000 saw the end of another millennium.|
Millipede|bug whose skeleton is on the outside of its body and is known for having many legs|As the millipede crossed the room, the children were mesmerized by all of his little appendages transporting his body across the floor.|
