Laborious|something requiring much physical or mental effort|When you just start exercising it may seem laborious, but over time it gets easier.|
Labyrinth|a complicated irregular network of passages or paths in which it is difficult to find one's way; a maze.|At the farm, I found it very easy to get lost in the labyrinth of corn stalks.|
Laceration|an irregular open wound caused by a blunt impact to soft tissue|Because the laceration was so deep and ugly, Dick was rushed to the emergency room by an ambulance.|
Lachrymose|easily brought to tears|After her husband died, my aunt became a lachrymose woman who couldn’t stop crying.|
Lackadaisical|feeling or showing a lack of interest or enthusiasm|After the surgery, I was lackadaisical for several days.|
Lackey|a servant that does menial tasks|The wealthy gent’s lackey toted his luggage all over the resort.|
Lackluster|lacking brilliance and shine; dull; not exceptional; not worthy of special merit, attention, or interest|Since she noticed that the response she was getting on the dating website was rather lackluster, Beth decided to spice up her profile and post a better photo.|
Laconic|brief and concise, using few words|During the laconic phone call, the divorcing spouses only said what was absolutely necessary.|
Lacquer|a clear or colored coating that is painted on wood or metal|Lacquer was added to the dresser’s surface to give it extra shine.|
Lacuna|a gap or missing part|The story’s plot was missing, creating a lacuna in the middle of the text.|
Lad|a young boy|Police questioned the lad for an hour, but were not able to pinpoint him as a suspect.|
Laden|weighed down by a large amount|The party table is laden with assorted snacks and beverages.|
Laggard|an individual or group that falls behind others|In the race, James was the laggard who finished in last place.|
Lagniappe|a small gift given to a customer when purchasing something|As a lagniappe, the department store offered free popcorn and drinks to all its customers.|
Laid-back|relaxed and easy-going|Angie wished to give up her busy, New York City lifestyle for laid-back beach life.|
Lair|a place inhabited by a wild animal, often a cave or a hole in the ground|After stalking a sheep and ripping it to pieces, the tiger dragged its fresh kill to its lair.|
Laissez-faire|The policy of not interfering in the affairs of others |Since the dictator is killing Christians in his country, there is no way Christian nations can simply do nothing while observing a laissez-faire policy.|
Laity|members of the church but who are not ordained ministers or priests|Holding confession, the priest had the laity line up one by one to confess their sins.|
Lambaste|to criticize someone harshly|Even with its success, harsh party leaders continued to lambaste the plan for healthcare reform.|
Lambent|refers to the glowing and flickering of a fire|A lambent glow flickered from the low burning campfire.|
Lame|having disabled legs or feet|Lame in his feet, the once energetic man was no longer able to move around.|
Lament|to express sorrow or regret; to mourn aloud|I lament by crying my eyes out.|
Lamentable|worthy of criticism or regret|Few events are as lamentable as an attack on innocent people by terrorists.|
Lampoon|nan|Because Freddy posted an uncomplimentary lampoon of his boss on his Facebook page, he soon found himself looking for new employment.|
Lance|a long, thin pole with a sharp point carried by horsemen|Every tribesman carries around a lance whose tip is so sharp that it pierces the flesh at the slightest touch.|
Landfill|a place where waste is buried underground|All trash placed in the city’s dumpster was buried deep in the landfill.|
Landform|a mass made up of materials typically considered land, such as dirt, stone, sand, etc|Sailors that are out at sea often look for some sort of landform to signal the end of their journey, though they may pass some islands that aren’t their final destination.|
Landlocked|completely surrounded by land|Many landlocked countries in Africa lack the natural resources needed to sustain a stable economy.|
Landlord|a person who leases their property to another person or company|Beating on her delinquent tenant’s door, the landlord threatened to file a lawsuit if rent wasn’t paid.|
Landmark|a well-known object in a particular place that helps a person know where they are|It wasn’t an X, but the small stone that served as a landmark for the location of the buried treasure.|
Landscape|to decorate with plants|To add extra character, the painter always makes sure to landscape his scenes with at least some greenery.|
Landslide|a win that was gained by a large margin|After losing the election in a landslide victory, the candidate called his opponent to concede defeat.|
Languid|very slow and relaxed|I always get my rest when I take a languid cruise vacation.|
Languish|to be or become weak or dull; lose strength or vigor; fail to make progress or be successful|If Congress allows the budget bill to languish on the shelf, then the country will find itself in a financial crisis.|
Languishing|losing strength; becoming feeble and weak|After many weeks lost at sea, the languishing men were quickly losing all strength.|
