Rogue|a person without principles; a dishonest individual|Although the rogue was engaged to be married, he found it easy to flirt with other women.|
Roguish|dishonest and deceitful, unprincipled and untrustworthy|The roguish thief conned an old lady into giving him access to her life savings.|
Roguishly|in the manner of a dishonest person or rogue|The cheating husband stared roguishly at every woman in the bar.|
Roil|to stir someone up, causing them to be angry or agitated|The man’s hateful speech was just enough to roil up the already uneasy crowd.|
Roister|to engage in noisy, drunken, or riotous behavior|The man began to roister loudly after every touchdown.|
Role|an actor or actress’s part in a play or movie|The actress’s role in the horror film was that of a killer nurse who preyed on sick patients.|
Rollicking|joyous and carefree|Debra’s book is a rollicking good read that will take your mind on a joyride like none other.|
Romantic|behavior or items that represent a sign of love and/or affection|Sending a romantic letter to his crush was the guy’s latest effort to gain the woman’s heart.|
Romanticism|a way of thinking or describing things makes them sound more exciting than they really are|Because he is such a realistic person, George doesn’t understand his wife’s romanticism.|
Romp|to play in an excited and energetic way|Our playful pups romp and frolic around the yard every time we take them outside.|
Rookery|a gathering or settlement of fowl or other animals|Clustered together on a small island in the ocean barked a rookery of seals making so much noise as the beachgoers passed by on the shore.|
Rookie|a beginner of a team or job|All of the fans groaned when the rookie of the team came up to bat because they knew he did not have the experience to hit a homerun.|
Roomer|a person who rents a room in another person’s home|The roomer was evicted from her landlord’s house after she refused to pay her part of the utilities.|
Roommate|a person who occupies the same house or apartment as someone else|My roommate is looking for a new place to live since we constantly argue over the apartment we share.|
Roost|where animals gather at night to sleep or rest, similar to nesting|The bats roost in the dark corner of an abandoned barn.|
Root|the basic cause or source of something|The therapist helped her client get to the root of her emotional issues and heal once and for all.|
Rope|a cord or cable made from natural fiber|The mountain climber attached a rope to the side of the cliff and used the cable to lift himself up.|
Rose|moved from a lower to a higher position|The student rose from his seat and went to the board to solve the math equation.|
Roseate|too optimistic; unrealistic|The hopeful girl’s attitude towards life was too roseate for her realistic mother’s tastes.|
Roster|a list of people's names, often with including the jobs they have been assigned|A new student was added to the teacher’s roster, causing her to be short one desk.|
Rostrum|a raised platform on which public speakers stand to address an audience; podium|The set designers built a rostrum for the choir members to stand on.|
Rot|to decay and deteriorate|After several days in the fridge, the perishable products started to rot and smell.|
Rotary|of motion revolving around a center or axis; rotational|Before the invention of cordless phones, telephones were rotary and in order to make a call, individuals had to press the number, spin it around, to get to the next number.|
Rotate|to spin around from the center|The Earth does rotate on its axis near the sun so that each part of the Earth gets daylight and night.|
